Speaker,Gender,Word,f0,F1,F2,F3,Duration,HasSuffix,FollowingPlace,IsSuffixBack,PrecedingPlace
23,female,dil,196.3536129,423.1287715,1399.226254,2861.417709,0.068237543,FALSE,lateral,1,coronal
23,female,dil,259.2679269,502.9148232,1505.430908,2910.428571,0.051669749,TRUE,lateral,1,coronal
3,female,dil,233.2912119,449.3460079,1737.25639,3126.421818,0.046051061,FALSE,lateral,1,coronal
3,female,dil,240.0763189,470.3340972,1899.390938,2901.638137,0.065950371,TRUE,lateral,1,coronal
4,female,dil,180.5897758,345.9854604,1222.959705,3155.370685,0.076219681,TRUE,lateral,1,coronal
4,female,dil,139.199574,501.9375835,1764.664927,3287.146369,0.114445324,FALSE,lateral,1,coronal
5,female,dil,189.4709589,462.2428463,1924.179116,2944.431782,0.07280417,FALSE,lateral,1,coronal
5,female,dil,223.1103816,477.3494045,1424.485788,2400.725926,0.065059046,TRUE,lateral,1,coronal
6,female,dil,189.0560107,391.4922945,1246.925491,3253.958767,0.056518047,TRUE,lateral,1,coronal
6,female,dil,193.394675,400.4736395,1164.784817,2984.075213,0.086642043,FALSE,lateral,1,coronal
7,female,dil,173.4469114,510.4397084,1029.531384,3098.460132,0.118440827,FALSE,lateral,1,coronal
8,female,dil,176.4036514,530.7831063,1551.481412,3230.091363,0.107656137,TRUE,lateral,1,coronal
8,female,dil,174.4415066,515.0559219,2072.8457,3293.327117,0.12938745,FALSE,lateral,1,coronal
9,female,dil,185.216246,476.274829,1740.592788,3049.94128,0.067358281,TRUE,lateral,1,coronal
9,female,dil,192.0830503,409.8189846,1744.223507,3138.561304,0.097259832,FALSE,lateral,1,coronal
1,female,din,238.0704587,455.8474126,1935.755977,2877.884048,0.092799634,FALSE,coronal,1,coronal
1,female,din,212.1637361,435.8112287,1703.010186,1966.198898,0.076128843,TRUE,coronal,1,coronal
10,female,din,163.044098,494.0081405,2196.373109,2894.753485,0.095574939,FALSE,coronal,1,coronal
10,female,din,216.1378722,428.9788315,1290.76767,2447.128601,0.093275083,TRUE,coronal,1,coronal
11,male,din,110.1960086,346.8585581,1549.673674,2698.903838,0.073234217,FALSE,coronal,1,coronal
11,male,din,114.3585974,333.8885563,1555.11155,2307.493639,0.055803887,TRUE,coronal,1,coronal
12,male,din,120.4603856,352.7781551,1600.054408,2654.265146,0.052508889,TRUE,coronal,1,coronal
12,male,din,166.0555972,319.7118451,1260.142973,2617.732876,0.069039019,FALSE,coronal,1,coronal
13,male,din,94.60428451,443.3826213,1459.433724,2564.320269,0.045322282,TRUE,coronal,1,coronal
13,male,din,114.9653119,420.1213914,1736.075926,2013.381609,0.070996336,FALSE,coronal,1,coronal
14,female,din,194.2093068,367.2577647,1768.241309,2919.12261,0.068558963,FALSE,coronal,1,coronal
14,female,din,206.6055089,371.9647009,1854.836468,3020.080974,0.053964836,TRUE,coronal,1,coronal
15,male,din,145.1615893,530.1030117,1791.214638,2720.3063,0.075011154,FALSE,coronal,1,coronal
15,male,din,134.5141659,449.5902608,1526.556502,2654.831115,0.060574319,TRUE,coronal,1,coronal
16,male,din,112.346117,406.0656666,1700.568844,2832.540239,0.095420634,FALSE,coronal,1,coronal
16,male,din,118.7381618,450.3100023,1533.989719,2981.461905,0.04842867,TRUE,coronal,1,coronal
17,female,din,233.0799939,454.7961445,1862.84285,3194.553795,0.082393208,FALSE,coronal,1,coronal
17,female,din,211.5591937,410.9226536,1744.558835,2091.6282,0.064855698,TRUE,coronal,1,coronal
18,female,din,165.7560114,479.4204825,1848.695352,2990.283231,0.056101235,TRUE,coronal,1,coronal
18,female,din,199.9382177,410.157527,2046.536013,2981.655153,0.087371547,FALSE,coronal,1,coronal
19,female,din,208.2587573,326.250229,1941.200384,3084.472545,0.068137236,TRUE,coronal,1,coronal
19,female,din,201.270285,334.7386661,1837.80032,3002.205589,0.075385878,FALSE,coronal,1,coronal
2,female,din,200.1040125,444.4587329,2001.689772,3296.5431,0.081979164,FALSE,coronal,1,coronal
2,female,din,155.4441762,347.1938155,1871.086824,2130.327309,0.064900171,TRUE,coronal,1,coronal
20,female,din,229.4124822,423.6740045,1857.521592,2778.87224,0.100685395,FALSE,coronal,1,coronal
20,female,din,223.2175987,442.3635044,1800.483756,2864.732667,0.085430032,TRUE,coronal,1,coronal
21,female,din,180.1014774,457.2143032,2174.600329,3427.065626,0.06643559,FALSE,coronal,1,coronal
21,female,din,197.751556,419.2381896,1765.826225,3173.051376,0.05586412,TRUE,coronal,1,coronal
22,female,din,215.815234,399.095603,1712.488884,1831.918936,0.101381603,TRUE,coronal,1,coronal
22,female,din,205.0022506,418.6062938,1872.592577,2938.027246,0.11501871599999999,FALSE,coronal,1,coronal
23,female,din,248.5225331,436.577661,1529.436341,2730.260148,0.0522677,TRUE,coronal,1,coronal
23,female,din,200.8750335,407.5815733,2221.108832,3150.482759,0.089496975,FALSE,coronal,1,coronal
3,female,din,230.9286609,436.2176827,2054.793325,3177.733181,0.088393147,FALSE,coronal,1,coronal
3,female,din,233.0528937,428.0101939,1876.051408,3178.495856,0.063043605,TRUE,coronal,1,coronal
4,female,din,183.8567185,539.5084248,2195.475905,3471.248739,0.088439972,TRUE,coronal,1,coronal
5,female,din,236.4596996,476.2277738,1959.830718,2555.362833,0.077451245,TRUE,coronal,1,coronal
5,female,din,186.2522116,548.2702512,1855.694072,2928.617524,0.109980768,FALSE,coronal,1,coronal
6,female,din,187.1710588,507.106138,1778.616407,3295.136184,0.066773092,TRUE,coronal,1,coronal
6,female,din,195.2973092,397.7347319,1904.008949,3068.475161,0.068542797,FALSE,coronal,1,coronal
7,female,din,173.4725592,418.3181279,1756.364909,2953.393162,0.071731768,TRUE,coronal,1,coronal
7,female,din,191.2013704,467.6444749,1680.164714,2988.442891,0.120109007,FALSE,coronal,1,coronal
8,female,din,201.4615728,426.3953806,2144.100057,3127.039969,0.094348946,FALSE,coronal,1,coronal
8,female,din,195.9859763,410.9814855,1980.428989,3026.391724,0.181569491,TRUE,coronal,1,coronal
9,female,din,193.2088606,432.7090265,1440.06765,2408.025436,0.069753545,FALSE,coronal,1,coronal
9,female,din,188.4418666,370.7449926,1783.94524,3078.4282239999998,0.073057145,TRUE,coronal,1,coronal
1,female,filim,246.5378764,481.3961957,1928.238331,2668.935418,0.052199794,TRUE,labial,1,lateral
1,female,filim,182.7326143,408.2933463,2121.505341,2826.891252,0.030451537,FALSE,labial,1,lateral
10,female,filim,179.3675152,383.9803843,2225.74813,2820.305443,0.043354508,TRUE,labial,1,lateral
10,female,filim,158.5084332,455.4675393,2108.283817,2651.932125,0.050463001,FALSE,labial,1,lateral
11,male,filim,110.872062,282.7891872,1677.898599,2261.31473,0.054451966,TRUE,labial,1,lateral
11,male,filim,107.1775937,460.0605334,1829.101442,2645.747758,0.067420381,FALSE,labial,1,lateral
12,male,filim,148.869304,393.9551907,1423.871059,2173.566428,0.035888743,FALSE,labial,1,lateral
12,male,filim,124.5981503,383.919434,1353.920171,2265.694393,0.03019658,TRUE,labial,1,lateral
13,male,filim,104.1113361,402.5670642,1659.6700290000001,2370.843905,0.030176783,TRUE,labial,1,lateral
13,male,filim,97.72175205,419.3285636,1570.802262,2297.427181,0.044114181,FALSE,labial,1,lateral
14,female,filim,190.1517299,340.3951612,1956.300381,2903.281557,0.04379086,TRUE,labial,1,lateral
14,female,filim,185.6732302,344.9935337,2381.640904,3264.113565,0.045378377,FALSE,labial,1,lateral
15,male,filim,170.4523804,379.8499231,2046.235213,2940.690968,0.083046058,FALSE,labial,1,lateral
15,male,filim,179.3851386,359.2547084,1709.324452,2506.592108,0.029875972,TRUE,labial,1,lateral
16,male,filim,116.542857,466.7758808,1476.556914,2421.024323,0.043425205,FALSE,labial,1,lateral
16,male,filim,111.3968465,442.8143859,1431.418347,2900.717387,0.052784798,TRUE,labial,1,lateral
17,female,filim,140.6882378,567.6446964,1938.617041,3079.274832,0.052250084,TRUE,labial,1,lateral
17,female,filim,156.3588372,521.4817165,2305.45574,3061.083818,0.076983428,FALSE,labial,1,lateral
18,female,filim,192.5711737,345.9340847,2105.363119,2934.668629,0.099178513,TRUE,labial,1,lateral
18,female,filim,158.7447472,374.9501491,2583.32597,3092.657531,0.067321482,FALSE,labial,1,lateral
19,female,filim,193.1097999,362.9136282,2158.790749,2857.088526,0.04639131,FALSE,labial,1,lateral
19,female,filim,205.6270084,325.9047153,2038.577738,2892.929389,0.026095112,TRUE,labial,1,lateral
2,female,filim,147.4274208,371.6761812,1987.794033,2979.442047,0.042697481,FALSE,labial,1,lateral
2,female,filim,160.5214822,373.5075647,2064.693054,2857.832172,0.047821179,TRUE,labial,1,lateral
20,female,filim,233.7480843,440.0180179,2153.631861,2793.530499,0.057970379,FALSE,labial,1,lateral
20,female,filim,199.5880763,363.4536333,2124.979709,2770.031704,0.033561798,TRUE,labial,1,lateral
21,female,filim,--undefined--,526.9196275,2428.133031,2855.571115,0.062246022,FALSE,labial,1,lateral
21,female,filim,--undefined--,590.8396033,1968.527433,2706.000843,0.060628781,TRUE,labial,1,lateral
22,female,filim,228.0900233,458.0216042,2218.622788,3090.196938,0.019439917,FALSE,labial,1,lateral
22,female,filim,237.5691633,430.3630938,2564.179145,3404.068722,0.077759667,TRUE,labial,1,lateral
23,female,filim,228.139037,373.1221663,1785.274875,2748.704554,0.036872394,TRUE,labial,1,lateral
23,female,filim,--undefined--,344.6671356,2058.848915,3290.931558,0.051258646,FALSE,labial,1,lateral
3,female,filim,238.4151924,551.5975682,1915.230097,3152.848691,0.057002273,TRUE,labial,1,lateral
3,female,filim,164.9624742,415.490786,2056.051356,3106.288199,0.053375376,FALSE,labial,1,lateral
4,female,filim,173.3919635,448.3242125,2207.671591,3201.868502,0.060589134,TRUE,labial,1,lateral
4,female,filim,155.3640854,455.2757859,2119.198543,3296.981975,0.057165695,FALSE,labial,1,lateral
5,female,filim,196.2790485,577.0731463,1942.221365,2886.642501,0.041823672,FALSE,labial,1,lateral
5,female,filim,182.7725453,577.701634,1921.570439,2753.002969,0.035627573,TRUE,labial,1,lateral
6,female,filim,186.6693481,394.7812439,1737.62676,2983.140957,0.02456516,TRUE,labial,1,lateral
6,female,filim,197.2642522,384.9694103,2036.07501,3069.157319,0.025713983,FALSE,labial,1,lateral
7,female,filim,--undefined--,337.1295901,1565.434194,2739.870221,0.073399949,TRUE,labial,1,lateral
7,female,filim,174.4847273,504.9173442,1921.98323,2846.495169,0.046709058,FALSE,labial,1,lateral
8,female,filim,182.7761482,572.3505334,2095.543048,3307.876858,0.042090984,TRUE,labial,1,lateral
8,female,filim,210.8188535,450.5375405,2074.158184,3118.577829,0.035782184,FALSE,labial,1,lateral
9,female,filim,184.9442342,396.7076873,1834.36492,2798.526988,0.040274428,TRUE,labial,1,lateral
9,female,filim,191.7796055,397.3978817,1834.195374,2816.267453,0.049066657,FALSE,labial,1,lateral
